-3.92893	-12.7469	-12.7782	-0.61662	0.55748	0.55587
-1.72183	-11.6862	-12.7175	-0.61662	0.55748	0.55587
-4.13604	-11.3933	-12.4246	-0.61662	0.55748	0.55587
-1.92893	-10.3326	-12.364	-0.61662	0.55748	0.55587
-2.92893	-12.0397	-12.0711	-0.61662	0.55748	0.55587
-1.92893	-11.3326	-11.364	-0.61662	0.55748	0.55587
-2.92893	-13.0397	-11.0711	-0.61662	0.55748	0.55587
-2.42893	-12.1862	-11.2175	-0.61662	0.55748	0.55587
-0.928932	-10.6255	-10.6569	-0.61662	0.55748	0.55587
-1.92893	-12.3326	-10.364	-0.61662	0.55748	0.55587
